Soc. Arrendamento Mercantil;DBEN;;
Securitizadoras de Recebíveis;;;
Securitizadoras de Recebíveis;BZRS;;
Securitizadoras de Recebíveis;BSCS;;
Securitizadoras de Recebíveis;PDGS;;
Gestão de Recursos e Investimentos;;;
Gestão de Recursos e Investimentos;BNDP;;
Gestão de Recursos e Investimentos;BFRE;;
Gestão de Recursos e Investimentos;G2DI;;
Gestão de Recursos e Investimentos;GPIV;;
Gestão de Recursos e Investimentos;PPLA;;
Serviços Financeiros Diversos;;;
Serviços Financeiros Diversos;B3SA;;
Serviços Financeiros Diversos;CIEL;;
Serviços Financeiros Diversos;CLSA;;
Serviços Financeiros Diversos;CSUD;;
Serviços Financeiros Diversos;EFXB;;
Serviços Financeiros Diversos;STOC;;
Serviços Financeiros Diversos;XPBR;;
Seguradoras;;;
Seguradoras;BRGE;;
Seguradoras;BBSE;;
Seguradoras;CXSE;;
Seguradoras;PSSA;;
Seguradoras;CSAB;;
Resseguradoras;;;
Resseguradoras;IRBR;;
Corretoras de Seguros e Resseguros;;;
Corretoras de Seguros e Resseguros;APER;;
Corretoras de Seguros e Resseguros;WIZC;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Exploração de Imóveis;;;
Exploração de Imóveis;ALOS;;
Exploração de Imóveis;CORR;;
Exploração de Imóveis;GSHP;;
Exploração de Imóveis;HBTS;;
Exploração de Imóveis;HBRE;;
Exploração de Imóveis;IGTI;;
Exploração de Imóveis;LOGG;;
Exploração de Imóveis;MNZC;;
Exploração de Imóveis;MULT;;
Exploração de Imóveis;PEAB;;
Exploração de Imóveis;SCAR;;
Exploração de Imóveis;SYNE;;
Intermediação Imobiliária;;;
Intermediação Imobiliária;LPSB;;
Intermediação Imobiliária;NEXP;;
Holdings Diversificadas;;;
Holdings Diversificadas;ITSA;;
Holdings Diversificadas;MOAR;;
Holdings Diversificadas;SIMH;;
Outros Títulos;;;
Outros Títulos;CTBA;;
Outros Títulos;MCRJ;;
Outros Títulos;PMSP;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Outros;;;
Outros;QVQP;;
Outros;ATOM;;
Outros;BETP;;
Outros;CABI;;
Outros;MAPT;;
Outros;CMSA;;
Outros;OPGM;;
Outros;FIGE;;
Outros;PPAR;;
Outros;PRPT;;
Outros;OPSE;;
Outros;OPTS;;
Outros;YBRA;;
